brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
boAt,Imagine Marketing Ltd,audio/wearables,FY26,2931,84.5,,Y,~1000-2000 (typical price point; not disclosed),,Marketplace-heavy (Amazon/Flipkart) + own D2C site + offline; intl rev ~45 cr FY26,https://viestories.com/insight/startup-insight/boat-fy26-results-profit-jumps-38-to-845-crore-12435719 ; https://www.business-standard.com/companies/news/boat-revenue-fivefold-growth-fy25-profit-return-125111302039_1.html,"FY25: consol rev 3097.8 cr, PAT 60 cr, EBITDA 142.5 cr (UDRHP). FY26 figures from secondary report; IPO (Rs1500 cr) pending"
Noise,Nexxbase Marketing Pvt Ltd,wearables/audio,FY25,1048,3.2,18,Y,~1500-3000 (typical smartwatch price point),,Marketplace-led + own site + offline,https://entrackr.com/fintrackr/bose-funded-noise-revenue-declines-24-to-rs-1048-cr-in-fy25-11092127,Revenue down 24% from 1384 cr; PAT aided by Rs47 cr deferred tax credit (pre-tax likely loss); ad spend cut to 180 cr
Boult (GoBoult),Boult Audio / GoBoult (entity per Entrackr),audio/wearables,FY25,763,24,~50 (6.6% margin),Y,~1000-2000 (typical),,Marketplace-heavy; bootstrapped,https://entrackr.com/fintrackr/goboult-posts-rs-763-cr-revenue-profit-shoots-up-10x-11124681,FY24 rev 697 cr PAT 2.5 cr; EBITDA derived from reported 6.6% margin
Fire-Boltt,Fireboltt Technologies Pvt Ltd,wearables,FY25,61.26,-31.72,,N,~1000-2500 (typical),,Marketplace-led,https://www.tofler.in/fireboltt-technologies-private-limited/company/U31904MH2022PTC379843,Figures per search summary of newer entity (inc. 2022); older entity Boltt Sports Technologies Pvt Ltd not verified - brand-level revenue likely much larger; treat as partial
Portronics,Portronics Digital Pvt Ltd,consumer electronics accessories,FY25,713.6,,,,~500-2000 (typical),,Marketplace + own site + large offline distribution,https://www.thecompanycheck.com/company/portronics-digital-private-limited/U74140DL2010PTC203767,Revenue +64% YoY; PAT/EBITDA behind paywall - unknown
Ambrane,Ambrane India Pvt Ltd,power banks/chargers,FY24 (approx),~230,,,,~500-1500 (typical),,Marketplace + offline; export push,https://www.businesstoday.in/technology/news/story/from-india-to-the-world-ambrane-eyes-rs-500-crore-revenue-target-by-fy25-26-rs-100-crore-from-global-markets-412390-2024-01-09,Founder-stated 'crossed 230 cr last FY' (Jan 2024); no filed P&L found
pTron,Palred Technologies Ltd (listed; pTron via Palred Electronics),audio/wearables accessories,FY26,82,-7.44,-6.44 (operating loss),N,~500-1000 (typical),,Marketplace-heavy,https://www.screener.in/company/532521/ ; https://www.whalesbook.com/corporate-news/English/bankingfinance/Palred-Technologies-Posts-Standalone-Profit-of-indian-rupee274-Cr-Consolidated-Loss-Narrows/6a19bfc76ec823f1f2929db2,"Consolidated; FY25 rev 89.77 cr, loss 10.37 cr"
Mivi,Seminole Electronics Pvt Ltd,audio/wearables (made-in-India),FY25,287,1.2,15.6 (est),Y,~1000-2000 (typical),,Marketplace + own site; own manufacturing,https://inc42.com/company/mivi/financials/,Company claimed '>300 cr' rev FY25; bootstrapped
Crossbeats,,audio/wearables,,,,,,,,,,Not found (search budget exhausted)
Lifelong,Lifelong Online Retail Pvt Ltd,small appliances/fitness/home,FY25,540.48,,,,~1000-3000 (typical),,Amazon-led marketplace brand,https://www.thecompanycheck.com/company/lifelong-online-retail-private-limited/U52100DL2015PTC287393,"Rev +41%; one aggregator cites ~9.7% net margin (implies ~52 cr PAT) - unverified, left blank"
