brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
The Souled Store,The Souled Store Pvt Ltd,Apparel (pop-culture casualwear),FY25,492.4,11.0,47.8,Y,,,70+ offline stores; product sales (online+offline) 98.5% of revenue; rest membership fees,https://entrackr.com/fintrackr/the-souled-store-nears-rs-500-cr-revenue-in-fy25-profits-decline-38-10954507 ; https://inc42.com/startups/the-souled-store-the-making-of-a-%E2%82%B9700-cr-d2c-lifestyle-brand-on-fandom-fashion/,EBITDA derived from reported 9.7% margin. FY24 PAT 17.67. FY26 guided ~Rs 700 Cr revenue (not yet filed).
Snitch,Snitch Apparels Pvt Ltd (entity name not confirmed in source),Apparel (menswear fast fashion),FY25,498,-1.7,-5.0,N,,,"FY26 (founder, unaudited): 60% online / 40% offline; 115 stores; quick commerce ~10% of online",https://entrackr.com/fintrackr/snitch-nears-rs-500-cr-revenue-in-fy25-stays-close-to-breakeven-11058503 ; https://inc42.com/buzz/d2c-brand-snitchs-fy26-revenue-surges-80-to-%E2%82%B9900-cr/,EBITDA derived from -1% margin. FY24 PAT +4.3. FY26 unaudited revenue Rs 900 Cr with EBITDA 2-3% (PAT not disclosed).
Rare Rabbit,Radhamani Textiles Pvt Ltd,Apparel (premium menswear/womenswear),FY25,818.67,16,,Y,,,180+ exclusive stores and 700+ points of sale,https://apparelresources.com/business-news/retail/rare-rabbit-revenue-jumps-69-per-cent-us-75-76-million/ ; https://behindthefeature.substack.com/p/rare-rabbit-made-75-crore-in-profit,"FY24: rev 637, PAT ~70-75. FY25 profit cut by ad spend (118.7 Cr). Entrackr Wrogn article cites Rare Rabbit FY26 ~Rs 1,100 Cr (unverified)."
Libas,Zivore Apparel Pvt Ltd,Ethnic wear (womenswear),FY25,609.1,-16.5,,N,~600-700 (core price range),,Own website/app ~40-45% of sales (was ~95% marketplace earlier); expanding offline stores,https://inc42.com/startups/libas-next-big-thing-after-hitting-the-%E2%82%B9600-cr-revenue-mark/,"FY24 PAT +4.8. FY26: ~20% growth, crossed Rs 1,000 Cr ARR (founder). NOT the listed Libas Consumer Products Ltd."
Bewakoof,Bewakoof Brands Pvt Ltd (ABFRL/TMRW),Apparel (casualwear),FY25,173,-73.2,-57,N,,,Pushing offline stores,https://entrackr.com/fintrackr/bewakoofs-growth-struggles-continue-in-fy25-but-losses-narrow-10610421 ; https://inc42.com/buzz/bewakoof-narrows-fy25-loss-by-29-to-inr-73-2-cr/,FY24 loss 103. Spent Rs 1.43 per rupee of revenue.
Bonkers Corner,Bonkers Corner (entity not confirmed),Apparel (streetwear),FY25,122.8,4.3,,Y,,,"~55% own website, ~40% retail stores, ~5% marketplaces; 12,000 SKUs; first store Sep 2023",https://inc42.com/startups/how-bonkers-corner-bootstrapped-its-way-to-a-%E2%82%B9195-cr-streetwear-brand/ ; https://inc42.com/startups/how-bonkers-corner-grew-to-%E2%82%B9125-77-cr-by-building-drop-led-demand/,"FY24 PAT 6.7. FY26 guided Rs 180-195 Cr revenue, PAT Rs 15-16 Cr (projection)."
Urban Monkey,Urban Monkey Pvt Ltd,"Apparel/accessories (streetwear, caps)",FY25,,,,,,,,https://tracxn.com/d/legal-entities/india/urban-monkey-private-limited/__Bv9T3x1npXpnL8RDGV6OsJRTdJwpmxCa3WZL1pGSiJs,Tracxn only gives range Rs 10-50 Cr; PAT not found.
The Bear House,Bear House Clothing Pvt Ltd,Apparel (menswear),FY26,270,16,,Y,,Repeat/retention >60%,~25% offline; 24 own stores + 109 Reliance Trends shop-in-shops; quick commerce,https://inc42.com/startups/can-the-bear-house-prowl-its-way-to-%E2%82%B9500-cr-in-revenue/,"FY26 figures company-stated (may be unaudited). FY25: rev ~130, PAT 3.7. Profitable every year per reports."
Powerlook,Powerlook Apparels Pvt Ltd,Apparel (menswear),FY25,,,,,,,,"https://in.fashionnetwork.com/news/Powerlook-aims-for-rs-300-crore-gmv-in-fy25,1632260.html",Only guidance found (Rs 150 Cr revenue / Rs 300 Cr GMV for FY25). Filed numbers not found.
Nobero,(not confirmed),Apparel (athleisure),,,,,,,,,https://inc42.com/company/nobero/financials/,No filed financials found.
