brand,entity,category,fiscal_year,revenue_inr_cr,pat_inr_cr,pat_margin_pct,ebitda_inr_cr,notes,source_url
Atomberg,Atomberg Technologies Pvt Ltd,appliances (BLDC fans),FY25,958.4,-117.4,-12.2,,Total income ~1000.9 cr; loss down 41% from 199 cr,https://entrackr.com/fintrackr/atomberg-slashes-losses-by-41-in-fy25-after-sharp-cut-in-employee-costs-10942837
Drools,Drools Pet Food Pvt Ltd,pet food,FY25,918.0,-50.0,-5.4,73.9,Total rev 932Cr; EBITDA Inc42 est; flag non-D2C,https://startuppedia.in/trending/startup-news/nestle-backed-indias-pet-food-unicorn-drools-reports-rs-932-cr-revenue-in-fy25-loss-at-rs-50-cr-11702429
Licious,Delightful Gourmet Pvt Ltd,Meat/seafood D2C,FY25,795.0,-218.3,-27.5,-163,FY24 loss 298.6 cr; EBITDA loss cut 45% from 296 cr. No FY26 filing found.,https://entrackr.com/fintrackr/licious-reports-rs-795-cr-revenue-in-fy25-cuts-ebitda-losses-by-45-10575891|https://inc42.com/buzz/licious-trims-fy25-loss-by-27-to-inr-218-3-cr/
Bira 91,B9 Beverages Ltd,Beer (alco-bev),FY24,638.0,-748.0,-117.2,,"FY25 not filed as of reports; accumulated losses 1,904 cr.",https://www.businesstoday.in/latest/corporate/story/rs-619-cr-wiped-rs-1904-cr-loss-bira-91-in-crisis-now-report-cites-audit-red-flags-498035-2025-10-14|https://inc42.com/features/inside-the-bitter-collapse-of-bira-91/
MyGlamm / Good Glamm,Good Glamm Group (Sirona Hygiene / MyGlamm entities),Beauty/personal care conglomerate,FY23,603.0,-917.0,-152.1,,Latest audited figures found are FY23. Group in distress/break-up and asset sales in 2025.,https://inc42.com/buzz/the-good-glamm-group-fy23-reports-inr-917-cr-loss-sales-jump-to-inr-603-cr/
GIVA,GIVA Jewellery (G.I.V.A.) Pvt Ltd,jewellery (silver/lab-grown),FY25,518.0,-72.0,-13.9,,Spent Rs1.15 per rupee earned,https://entrackr.com/fintrackr/givas-revenue-jumps-89-to-rs-518-cr-in-fy25-11103039 ; https://inc42.com/buzz/giva-loss-widens-23-to-%E2%82%B972-cr-in-fy25-revenue-jumps-90/
The Sleep Company,Komfort Universe Products & Services Pvt Ltd,mattresses/sleep,FY25,499.0,-48.2,-9.7,-39,PAT from Inc42 (total income 505.7 cr); EBITDA loss per Entrackr,https://entrackr.com/fintrackr/the-sleep-companys-revenue-spikes-60-to-rs-499-cr-in-fy25-10516467 ; https://inc42.com/company/the-sleep-company/financials/
Purple Style Labs (Pernia's Pop-Up),Purple Style Labs Pvt Ltd,Designer ethnic/luxury fashion,FY25,490.0,-188.6,-38.5,,Multi-brand designer platform + stores.,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/
Renee Cosmetics,Renee Cosmetics Pvt Ltd,Colour cosmetics/skincare,FY26,440.0,-36.4,-8.3,-36,"Loss figure is net loss BEFORE tax. Gross margin 75%. FY25: revenue Rs 321 Cr, loss Rs 66 Cr.",https://entrackr.com/exclusive/exclusive-renee-cosmetics-clocks-rs-440-cr-revenue-in-fy26-cuts-losses-by-45-11885989
FreshToHome,FreshToHome (entity not verified),Meat/seafood D2C,FY25,430.0,-146.3,-34.0,-145.5,EBITDA Inc42 estimate.,https://inc42.com/company/freshtohome/financials/
Pilgrim,Heavenly Secrets Pvt Ltd,Skincare/haircare/makeup,FY25,408.3,-68.7,-16.8,-61.1,Operating revenue doubled from Rs 198.7 Cr; total income Rs 417.7 Cr; marketing Rs 234.5 Cr. EBITDA is Inc42 estimate.,https://inc42.com/buzz/pilgrim-crosses-inr-400-cr-revenue-mark-in-fy25/
Sugar Cosmetics,Vellvette Lifestyle Pvt Ltd,Colour cosmetics,FY25,404.0,-134.0,-33.2,-108,"Revenue fell ~20% from Rs 505 Cr (FY24). Rs 415 Cr figure in some reports likely total income. FY24 loss reported as Rs 68-76 Cr by different sources. Raised Rs 144 Cr at ~Rs 755 Cr valuation (down from Rs 3,000 Cr). Entity name from general knowledge - verify.",https://www.storyboard18.com/brand-marketing/sugar-cosmetics-profitability-slips-as-fy25-revenue-declines-to-rs-415-crore-82535.htm
Farmley,Farmley (entity not verified),Dry fruits/makhana snacks,FY25,394.0,-22.5,-5.7,,EBITDA margin -3.68%; ad spend 52 cr.,https://entrackr.com/fintrackr/farmley-nears-rs-400-cr-revenue-in-fy25-losses-under-control-10947441
Akshayakalpa,Akshayakalpa Farms and Foods Pvt Ltd,Organic dairy,FY25,387.0,-27.3,-7.1,,38% YoY growth; targets 556 cr FY26.,https://entrackr.com/exclusive/exclusive-akshayakalpa-organic-to-raise-rs-175-cr-in-primary-capital-led-by-temaseks-abc-impact-11222969|https://inc42.com/features/from-shutdown-scare-to-inr-500-cr-scale-how-akshayakalpa-rekindled-its-dairy-dream/
Kapiva,Adret Retail Pvt Ltd,ayurveda wellness/nutrition,FY25,342.0,-69.0,-20.2,,EBITDA margin -20.88% per Entrackr,https://entrackr.com/fintrackr/kapiva-spends-rs-188-cr-on-advertising-in-fy25-posts-rs-342-cr-revenue-10965403
Blue Tokai,Blue Tokai Coffee Roasters (entity not verified),Coffee (cafes + retail beans),FY25,325.0,-50.0,-15.4,,"EBITDA margin -3.69%. Cafe-heavy, not pure D2C.",https://entrackr.com/fintrackr/blue-tokai-posts-rs-325-cr-revenue-in-fy25-cuts-losses-by-21-10918097
Chaayos,Sunshine Teahouse Pvt Ltd,Tea cafes,FY25,310.6,-25.4,-8.2,,EBITDA positive (jumped 6.5x; absolute not captured). Cafe-led.,https://entrackr.com/fintrackr/chaayos-crosses-rs-300-cr-revenue-in-fy25-ebitda-jumps-65x-11088950
Wooden Street,Woodenstreet Furnitures Pvt Ltd,furniture,FY25,294.8,-74.3,-25.2,-56.2 (est),,https://inc42.com/company/wooden-street/financials/
Third Wave Coffee,Third Wave Coffee (entity not verified),Coffee (cafes),FY25,285.0,-94.0,-33.0,,"FY24 rev ~240 cr. Cafe-led, not D2C product brand.",https://entrackr.com/news/third-wave-coffee-raises-rs-408-cr-led-by-westbridge-12425559
Wrogn,Universal Sportsbiz Pvt Ltd,Apparel (menswear),FY26,244.0,-88.4,-36.2,-67.3,"EBITDA derived from -27.6% margin; adjusted EBITDA loss -38. FY25: rev 223, loss 75.5.",https://entrackr.com/fintrackr/virat-kohli-backed-wrogn-posts-rs-244-cr-revenue-in-fy26-losses-widen-17-12559342
Clovia,Purple Panda Fashions Ltd (Reliance Retail),Innerwear (women),FY25,238.6,-58.5,-24.5,,"Inc42 Datalabs figures; company PR claims PAT profitability/Rs 550 Cr run-rate - unverified, conflicting.",https://inc42.com/company/clovia/financials/
mCaffeine (+Hyphen),Pep Technologies Pvt Ltd (consolidated),Caffeine-based personal care; Hyphen skincare,FY25,237.5,-18.0,-7.6,,Consolidated loss down 81% from Rs 93 Cr. EBITDA margin -7.54% (~-Rs 18 Cr implied). mCaffeine brand roughly flat at ~Rs 187 Cr; Hyphen ~Rs 50 Cr.,https://entrackr.com/fintrackr/pep-technologies-cuts-losses-81-in-fy25-hyphen-drives-growth-mcaffeine-stalls-11250613
Mokobara,Mokobara Lifestyle Pvt Ltd,Luggage/bags,FY25,230.0,-10.2,-4.4,-15.0,EBITDA derived from -6.52% margin. Total income 240.4. FY24 loss ~4.,https://entrackr.com/fintrackr/mokobara-revenue-doubles-to-rs-230-cr-in-fy25-11066667
The Whole Truth,The Whole Truth Foods (entity not verified),Protein bars/snacks/nut butters,FY25,216.0,-28.0,-13.0,,EBITDA margin -13.43%; cash 141 cr; FY24 rev 65 cr.,https://entrackr.com/fintrackr/the-whole-truth-records-33x-revenue-growth-to-rs-216-cr-in-fy25-11032738
Hocco,Hocco (entity not verified),Ice cream,FY25,209.0,-63.1,-30.2,-53.8,Company stated FY25 rev ~220 cr. EBITDA Inc42 estimate.,https://inc42.com/company/hocco/financials/
Yoga Bar,Sproutlife Foods Pvt Ltd,Health snacks/breakfast,FY25,201.66,-76.0,-37.7,,ITC took control from Apr 1 2026. Marketing 49 cr.,https://www.indianretailer.com/news/yoga-bar-reports-strong-fy25-growth-revenue-climbs-rs-20166-cr
Foxtale,Foxtale Consumer Pvt Ltd,Skincare,FY25,199.0,-73.0,-36.7,-70.6,Revenue 2.4X from Rs 83 Cr. Ad spend Rs 106 Cr. EBITDA per Inc42 estimate. Entity name unverified.,https://entrackr.com/fintrackr/foxtales-revenue-nears-rs-200-cr-in-fy25-losses-jump-38-10945518
XYXX,XYXX (entity not confirmed),Innerwear (men),FY25,187.0,-25.5,-13.6,-21.1,EBITDA Inc42 estimate. FY24 loss 35.5.,https://entrackr.com/fintrackr/d2c-innerwear-brands-xyxx-damensch-scale-up-in-fy25-profitability-remains-elusive-11433803
Newme,Newme (entity not confirmed),Apparel (women fast fashion),FY25,183.5,-96.7,-52.7,,FY24 rev 49.7.,https://inc42.com/company/newme/financials/
Bewakoof,Bewakoof Brands Pvt Ltd (ABFRL/TMRW),Apparel (casualwear),FY25,173.0,-73.2,-42.3,-57,FY24 loss 103. Spent Rs 1.43 per rupee of revenue.,https://entrackr.com/fintrackr/bewakoofs-growth-struggles-continue-in-fy25-but-losses-narrow-10610421 ; https://inc42.com/buzz/bewakoof-narrows-fy25-loss-by-29-to-inr-73-2-cr/
Sid's Farm,Sids Farm Pvt Ltd,Dairy subscription D2C,FY25,168.0,-27.0,-16.1,,EBITDA margin -14.58%. Loss up 2.6x from 10.5 cr.,https://entrackr.com/fintrackr/sids-farm-posts-rs-168-cr-revenue-in-fy25-losses-surge-26x-10983599
Zivame,Actoserba Active Wholesale Pvt Ltd (Reliance Retail),Innerwear (women),FY25,165.7,-15.7,-9.5,,Inc42 Datalabs; FY24 reported elsewhere as rev 193 / loss 39 (inconsistent base).,https://inc42.com/company/zivame/financials/
True Elements,HW Wellness Solutions Pvt Ltd,Breakfast/health foods,FY25,164.4,-23.0,-14.0,,Now 100% Marico-owned.,https://inc42.com/company/true-elements/financials/|https://www.storyboard18.com/brand-marketing/marico-acquires-100-stake-in-true-elements-for-rs-138-crore-80796.htm
