rank,tier,brand,parent_entity,category,key_products,channel_mix,fiscal_year,revenue_inr_cr,pat_bottomline_inr_cr,pat_margin_pct,ebitda_inr_cr,ebitda_margin_pct,profitability_status,data_confidence,est_aov_inr,est_purchase_freq_per_year,gross_up_factor,est_orders_per_year,est_orders_per_month,est_unique_customers_per_year,est_unique_customers_per_year_range,est_active_customers_per_month,disclosed_customer_metric,notes,source_urls
1,A - Verified profitable,Lenskart,Lenskart Solutions Ltd (listed),Eyewear,"Prescription glasses, sunglasses, contact lenses, eye tests (Lenskart, John Jacobs, Vincent Chase, Owndays intl.)","Omnichannel: app/web + ~2,700 own/franchise stores; ~40% revenue international",FY26,8814.0,500.90,5.7,1789.5,20.3,PAT positive (reported 500.9; adjusted ~530),High,3500,1.3,1.12,28205000,2350000,21696000,13018000-32544000,2350000,35.3 mn eyewear units sold; 23.8 mn eye tests (FY26),"Operating revenue 8,814 Cr (total income ~9,002 Cr). Disclosed: 35.3 mn eyewear units sold & 23.8 mn eye tests in FY26; order estimate (~28 mn) assumes ~1.25 units/order.",https://entrackr.com/fintrackr/lenskart-posts-rs-2516-cr-revenue-in-q4-fy26-profit-slips-7-11855334 ; https://www.whalesbook.com/corporate-news/English/consumer-products/Lenskarts-FY26-Revenue-Surges-353percent-to-indian-rupee9002-Cr-EBITDA-Jumps-967percent/6a637c750037f071726ef418 | https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/
2,A - Verified profitable,boAt,Imagine Marketing Ltd,Consumer electronics,"TWS earbuds, headphones, neckbands, speakers, smartwatches",Marketplace-led (Amazon/Flipkart) + own site + offline; IPO-bound,FY26,2931.0,84.50,2.9,,,PAT positive,Medium,1400,1.2,1.25,26170000,2181000,21808000,13085000-32712000,2181000,,"FY26 from secondary report; FY25 (DRHP): rev 3,098 Cr, PAT 60 Cr, EBITDA 142.5 Cr.",https://viestories.com/insight/startup-insight/boat-fy26-results-profit-jumps-38-to-845-crore-12435719 ; https://www.business-standard.com/companies/news/boat-revenue-fivefold-growth-fy25-profit-return-125111302039_1.html
3,A - Verified profitable,BlueStone,BlueStone Jewellery & Lifestyle Ltd (listed),Fine jewellery,"Diamond, gold & platinum jewellery; engagement rings",Omnichannel: web/app + ~300 stores,FY26,2436.4,13.20,0.5,,,PAT positive (first profitable year; FY25 loss 222 Cr),High,40000,1.15,1.03,627000,52000,546000,327000-818000,52000,,Some Inc42 pieces cite PAT ~26 Cr. Operating profit reported ~388 Cr (Ind-AS 116 heavy - not a clean EBITDA).,https://entrackr.com/fintrackr/bluestones-revenue-jumps-48-to-rs-681-cr-in-q4-fy26-11758619 | https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/ ; https://www.screener.in/company/BLUESTONE/consolidated/
4,A - Verified profitable,Mamaearth (Honasa Consumer),Honasa Consumer Ltd (listed),Beauty & personal care,"Skincare, haircare, baby care - Mamaearth, The Derma Co, Aqualogica, Dr. Sheth's, BBlunt, Staze","Omnichannel: own web/app, marketplaces, quick-commerce; ~1.2 lakh offline outlets billed",FY26,2392.0,200.20,8.4,,,PAT positive,High,450,2.5,1.3,69102000,5759000,27641000,16585000-41461000,5759000,Distributors billed ~1.2 lakh outlets in FY26,"Operating revenue 2,392 Cr (total income ~2,475 Cr). Profit up ~175% YoY. Includes Dr. Sheth's, The Derma Co, Aqualogica.",https://www.indianretailer.com/news/honasa-consumer-profit-more-doubles-rs-200-cr-fy26
5,A - Verified profitable,Wakefit,Wakefit Innovations Ltd (listed),Mattresses & furniture,"Mattresses, pillows, beds, sofas, furniture, furnishings","Omnichannel: own site ~ majority, marketplaces, 100+ stores",FY26,1489.0,189.00,12.7,,,PAT positive (incl. ~98 Cr deferred-tax credit),High,10000,1.05,1.15,1712000,143000,1631000,978000-2446000,143000,,"Total income ~1,534 Cr. Ex-DTA credit PAT would be ~90 Cr.",https://entrackr.com/fintrackr/wakefit-reports-rs-344-cr-revenue-q4-fy26-deferred-tax-gain-lifts-profit-11860519 ; https://indianstartupnews.com/news/wakefit-turns-profitable-in-fy26-as-revenue-rises-17-to-rs-1489-crore-11862110
6,A - Verified profitable,HealthKart,Bright Lifecare Pvt Ltd,Health & nutrition,"Sports nutrition & supplements - MuscleBlaze, HK Vitals, TrueBasics, Gritzo",Own app/web + marketplaces + ~200 stores,FY25,1313.0,120.00,9.1,79.0,6.0,PAT positive,High,2200,3.0,1.2,7162000,597000,2387000,1432000-3581000,597000,,EBITDA derived from ~6% margin reported by Entrackr.,https://entrackr.com/fintrackr/healthkarts-revenue-nears-rs-1400-cr-in-fy25-profit-triples-10652315
7,A - Verified profitable,Noise,Nexxbase Marketing Pvt Ltd,Consumer electronics,"Smartwatches, TWS earbuds, smart rings",Marketplace-led + own site + offline,FY25,1048.0,3.20,0.3,18.0,1.7,PAT positive (thin; aided by 47 Cr deferred-tax gain),High,1800,1.2,1.25,7278000,606000,6065000,3639000-9097000,606000,,Operating profitability is thin; PAT positive only due to tax credit.,https://entrackr.com/fintrackr/bose-funded-noise-revenue-declines-24-to-rs-1048-cr-in-fy25-11092127
8,A - Verified profitable,Rare Rabbit,Radhamani Textiles Pvt Ltd,Fashion & apparel,"Premium menswear & womenswear (Rare Rabbit, Rareism), accessories",Omnichannel: ~150 stores + own site,FY25,818.7,16.00,2.0,,,PAT positive (down from ~70 Cr in FY24 on higher ad spend),High,3500,1.8,1.12,2620000,218000,1455000,873000-2183000,218000,,,https://apparelresources.com/business-news/retail/rare-rabbit-revenue-jumps-69-per-cent-us-75-76-million/ ; https://behindthefeature.substack.com/p/rare-rabbit-made-75-crore-in-profit
9,A - Verified profitable,GoBoult (Boult Audio),Boult (entity per filings),Consumer electronics,"TWS earbuds, headphones, smartwatches, car accessories",Marketplace-led (Flipkart/Amazon); bootstrapped,FY25,763.0,24.00,3.1,50.0,6.6,PAT positive,High,1200,1.2,1.2,7630000,636000,6358000,3815000-9538000,636000,,Unfunded/bootstrapped. EBITDA from ~6.6% margin.,https://entrackr.com/fintrackr/goboult-posts-rs-763-cr-revenue-profit-shoots-up-10x-11124681
10,A - Verified profitable,Minimalist,Uprising Science Pvt Ltd (90.5% HUL),Beauty & personal care,"Active-ingredient skincare - serums, sunscreens, moisturisers, haircare",Own site + marketplaces + quick-commerce + offline,FY26,690.2,25.90,3.8,40.2,5.8,PAT positive (FY25 loss of 31.5 Cr was one-off),High,700,2.4,1.25,12325000,1027000,5135000,3081000-7703000,1027000,,Acquired by HUL in 2025.,https://indianstartupnews.com/news/hul-owned-minimalists-revenue-rises-36-to-rs-690-crore-in-fy26-profit-after-tax-at-rs-26-crore-12278778
11,A - Verified profitable,Skillmatics,Grasper Global Pvt Ltd (per filings),Toys & games,"Educational board games, card games, activity kits for kids","Amazon-led + 3,000+ intl retail doors; 25+ countries (US-heavy)",FY26,659.0,17.57,2.7,11.5,1.7,PAT positive,Medium,1600,1.3,1.03,4242000,354000,3263000,1958000-4895000,354000,"Sold in 25+ countries, 3,000+ intl retail stores",Mostly export revenue; customers are largely outside India.,https://entrackr.com/fintrackr/skillmatics-posts-rs-659-cr-revenue-in-fy26-profit-rises-marginally-12558327
12,A - Verified profitable,Ultrahuman,Ultrahuman Healthcare Pvt Ltd,Health tech wearables,"Ultrahuman Ring AIR, M1 CGM, Home environment device, subscriptions",Own site + global retail (Best Buy etc.); mostly international,FY25,565.0,73.00,12.9,49.5,8.8,PAT positive,High,30000,1.1,1.0,188000,16000,171000,103000-257000,16000,Subscription income Rs 29 Cr,Hardware + subscription (~29 Cr). Majority of customers overseas.,https://entrackr.com/fintrackr/ultrahuman-reports-rs-565-cr-revenue-and-rs-73-cr-profit-in-fy25-10485974
