brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
"HealthKart (MuscleBlaze, HK Vitals, TrueBasics, Gritzo)",Bright Lifecare Pvt Ltd,sports nutrition/supplements,FY25,1313,120,79,Y,,,D2C site/app + marketplaces + ~200+ offline stores; product sales 97% of revenue,https://entrackr.com/fintrackr/healthkarts-revenue-nears-rs-1400-cr-in-fy25-profit-triples-10652315,Op rev Rs1313Cr (total ~1368); PAT up ~3x from ~37Cr; EBITDA derived from reported 6.02% margin (Inc42 est 134Cr on different basis); consolidated incl. TrueBasics/Gritzo
Boldfit,Bling Brands Pvt Ltd,fitness accessories/supplements,FY25 (per Whalesbook; may be FY24),139.7,16.81,,Y,,,"Marketplace-led (Amazon/Flipkart e-commerce origin), moving offline",https://www.whalesbook.com/news/English/startupsvc/Boldfit-Seeks-dollar100-Million-Funding-at-indian-rupee4000-Crore-Valuation/6a7c0d436ffbe1e6461455cc,"Whalesbook (Aug-2026) says FY25 139.7 vs FY24 73.71; but Inc42/TheCompanyCheck show 73.7Cr rev & 15.7Cr PAT for FY23, so 139.7/16.8 may actually be FY24. Profitable either way"
Nutrabay,Nutrabay Retail Pvt Ltd,sports nutrition (marketplace + private label),FY24,99,1.22,2.26,Y,2000,1.5M+ private-label customers; 15-20k new customers/month; claimed 3M monthly orders across channels,Own site/app led; quick commerce (Zepto) and EBOs added,https://inc42.com/startups/how-nutrabay-became-an-inr-100-cr-profitable-brand-with-its-lean-frugal-playbook/,"FY25 not found for main entity; Inc42 datalabs maps Nutrabay to Radicura Pharmaceuticals (FY25 rev 35.8Cr, loss 0.59Cr) - likely a different/related entity, treat with caution"
Ultrahuman,Ultrahuman Healthcare Pvt Ltd,fitness/health wearables (D2C hardware),FY25,565,73,50.8,Y,,,"D2C website + Amazon/retail, large export share (US)",https://entrackr.com/fintrackr/ultrahuman-reports-rs-565-cr-revenue-and-rs-73-cr-profit-in-fy25-10485974,Hardware wearable (Ring Air) not consumable; EBITDA is Inc42 estimate; Inc42 op rev 580.8 incl other income variants
Plix (The Plant Fix),Satiya Nutraceuticals Pvt Ltd,plant-based nutrition/beauty supplements,FY25,436.3,4.8,11.2,Disputed,,,D2C + marketplaces + quick commerce; Marico 60% owned,https://inc42.com/company/plix-life/financials/,Inc42 datalabs shows PAT +4.8Cr/EBITDA 11.2Cr; FundsIndia research note says net loss Rs41.7Cr (vs 60Cr FY24). Verify from Marico subsidiary financials (marico.com/investorspdf/Subsidiary_Financials_FY26.pdf)
Carbamide Forte,Novus Life Sciences Pvt Ltd,vitamins/supplements,FY25 (rev); FY23 (profit),109.09,,,Likely Y (FY23),,,Amazon/marketplace-heavy D2C/B2C,https://www.thecompanycheck.com/company/novus-life-sciences-private-limited/U24232MH2007PTC174821,"FY25 rev 109.09Cr (+96%); FY25 PAT locked. FY23: revenue ~$5.57M, net profit ~$2.28M, EBITDA ~$2.09M per TheCompanyCheck (very profitable); FY25 PAT unknown"
"Mosaic Wellness (Man Matters, Be Bodywise, Little Joys)",Mosaic Wellness Pvt Ltd,health/sexual wellness/haircare/kids nutrition,FY25,736.1,-11.8,-7.5,N,,,Own apps/sites + marketplaces,https://entrackr.com/fintrackr/mosaic-wellness-revenue-doubles-to-rs-736-cr-in-fy25-nears-break-even-10787380,Loss down 70% from 38.8Cr; EBITDA Inc42 estimate
OZiva,Zywie Ventures Pvt Ltd,plant-based nutrition,FY25,260.9,-4.5,-3.4,N,,,D2C + marketplaces; HUL fully acquired (remaining 49% for Rs824Cr),https://inc42.com/company/oziva/financials/,Loss narrowed 90% from 43.5Cr
Kapiva,Adret Retail Pvt Ltd,ayurveda wellness/nutrition,FY25,342,-69,,N,,,D2C-led; ad spend Rs188Cr (~45% of costs),https://entrackr.com/fintrackr/kapiva-spends-rs-188-cr-on-advertising-in-fy25-posts-rs-342-cr-revenue-10965403,EBITDA margin -20.88% per Entrackr
Traya,Tatvartha Health Pvt Ltd,hair-loss (ayurveda+derm+nutrition),FY25,338,-22.5,-20.6,N,,,Own D2C (diagnosis-led kits) dominant,https://entrackr.com/fintrackr/traya-returns-to-losses-in-fy25-as-marketing-and-employee-costs-surge-10961037,FY24 was profitable (PAT 8.8Cr on 236Cr); EBITDA Inc42 estimate; loss per Inc42 22.5Cr
Wellbeing Nutrition,Nutritionalab Pvt Ltd,supplements,FY25,119,-38,-35.3,N,,,Retail share ~25% (company claim); USV acquired 79%,https://inc42.com/company/wellbeing-nutrition/financials/,Company claimed ~170Cr FY25 revenue (Entrackr); filed figure per Inc42 119Cr
The Good Bug,Seven Turns Pvt Ltd,gut health supplements,FY25,89.7,-43.0,-42.2,N,,,D2C + marketplaces + qcom,https://inc42.com/company/the-good-bug/financials/,Inc42 revenue may include other income
Setu Nutrition,Setu Nutrition Pvt Ltd,supplements,FY25,28.8,-17.9,-15.7,N,,,D2C + marketplaces,https://inc42.com/company/setu-nutrition/financials/,
Power Gummies,Aesthetic Nutrition Pvt Ltd,gummy supplements,FY25,3.5,-7.4,-6.0,N,,,D2C + marketplaces,https://inc42.com/company/power-gummies/financials/,Revenue fell 80% from 17.6Cr; possible business transfer - verify
Fast&Up,Fullife Healthcare Pvt Ltd,sports nutrition/effervescent,FY24,188,,,,,,Omnichannel (pharmacy/modern trade + online),https://inc42.com/fast42/fastup/,FY25 & PAT not found; not purely digital-first
The Whole Truth,Fitshit Health Solutions Pvt Ltd,protein/health foods,FY25,219.8,-28.2,-24.5,N,,,D2C + marketplaces + qcom + MT,https://inc42.com/company/the-whole-truth/financials/,Adjacent (food) category; Inc42 figures
Auric,Zenith Drinks Pvt Ltd,ayurvedic wellness beverages,FY25,126.1,-6.2,-4.3,N,,,D2C + marketplaces,https://inc42.com/company/auric/financials/,FY24 shown as 22.6Cr (+458%) - verify
Gynoveda,Gynoveda Femtech Pvt Ltd,ayurveda women's health,FY25,68.1,-10.5,-9.2,N,,,D2C + clinics,https://inc42.com/company/gynoveda/financials/,
Sirona,Sirona Hygiene Pvt Ltd,feminine hygiene,FY25,77,-22.6,-20.1,N,,,Marketplace-heavy; founders bought back from Good Glamm,https://entrackr.com/fintrackr/amid-ownership-transition-sironas-revenue-drops-to-rs-77-cr-in-fy25-11180181,Revenue down from 100Cr; Inc42 shows 79.5Cr
Pee Safe,Redcliffe Hygiene Pvt Ltd,feminine/personal hygiene,FY25,82,-4,-3.4,N,,,Omnichannel (online + offline + qcom),https://entrackr.com/fintrackr/pee-safe-reports-rs-82-cr-revenue-in-fy25-nears-breakeven-10973174,EBITDA margin -4.15%
Nua,Lagom Labs Pvt Ltd,feminine hygiene/women's wellness,FY25,96.1,-7.0,-6.8,N,,,D2C subscription + marketplaces,https://inc42.com/company/nua/financials/,"Company says EBITDA positive since Q2 FY25 (operating), filed PAT negative"
Sanfe,Redroomtechnology Pvt Ltd,feminine hygiene,FY25,105.2,-10.4,-8.9,N,,,Marketplace + D2C,https://inc42.com/company/sanfe/financials/,
Carmesi,Elize Life Sciences? (Purplle-owned),feminine hygiene,FY24,5.24,,,,,,Now part of Purplle,https://www.cbinsights.com/company/elize/financials,PAT not found; entity name unverified
Bold Care,Oddity Healthcare Pvt Ltd,sexual wellness (men),FY25,79.9,-58.3,,N,,,D2C + marketplaces,https://inc42.com/buzz/bold-care-fy25-loss-widens-3x-to-%E2%82%B958-3-cr-revenue-jumps-2-4x/,
MyMuse,MyMuse India Pvt Ltd,sexual wellness,FY25,54.0,-3.8,-3.8,N,,,D2C site-led + marketplaces,https://inc42.com/company/mymuse/financials/,Claimed EBITDA positive in last months of 2024
