brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
Ultrahuman,Ultrahuman Healthcare (India holding co; subs in US/UK/ME),Wearables (smart ring),FY25,565,73,~49.5 (8.76% margin),Y,,Subscription income Rs 29 Cr,"Smart rings 91.3% of revenue; US 61.4%, ME 5.9%, UK 4.5%, India 2.7%",https://entrackr.com/fintrackr/ultrahuman-reports-rs-565-cr-revenue-and-rs-73-cr-profit-in-fy25-10485974,First profitable year (FY24 loss Rs 38 Cr); revenue 5X YoY; export-led D2C
Skillmatics,Skillmatics (Mumbai; US sub Grasper Global Inc.),Kids educational games/toys,FY26,659,17.57,~11.5 (1.75% margin),Y,,"Sold in 25+ countries, 3,000+ intl retail stores",Own website + marketplaces + retail; 87% of revenue overseas (mainly North America),https://entrackr.com/fintrackr/skillmatics-posts-rs-659-cr-revenue-in-fy26-profit-rises-marginally-12558327,"FY25: rev Rs 490 Cr, PAT Rs 16.86 Cr; marketing Rs 169 Cr"
GoBoult (Boult Audio),GoBoult Audio,Consumer electronics (audio/wearables),FY25,763,24,~50 (6.6% margin),Y,,,Online-led (marketplaces + D2C); not specified,https://entrackr.com/fintrackr/goboult-posts-rs-763-cr-revenue-profit-shoots-up-10x-11124681,"Unfunded/bootstrapped; FY24 rev Rs 697 Cr, PAT Rs 2.5 Cr"
BellaVita,BellaVita (Gurugram),Fragrance / beauty & personal care,FY25,456,25,~21 (4.61% margin),Y,,,Marketplaces + own D2C + offline; split not disclosed,https://entrackr.com/fintrackr/bellavitas-revenue-jumps-25x-to-rs-456-cr-in-fy25-turns-profitable-10975141,Turnaround from Rs 40 Cr loss in FY24; raised ~$58 Mn; ad spend Rs 90 Cr
Wonderchef,Wonderchef (Mumbai),Kitchenware & small appliances,FY25,421,4.4,~8.5 (2.02% margin),Y,,,Omnichannel incl. e-commerce and quick commerce; outsourced manufacturing,https://entrackr.com/fintrackr/wonderchef-posts-421-cr-revenue-and-rs-4-cr-profit-in-fy25-10867025,Inc42 IPO tracker cites FY25 rev Rs 430 Cr / PAT Rs 6 Cr (vs Entrackr 421/4.4); FY24 PAT Rs 1.5 Cr; raised $30-50 Mn; omnichannel incl. EBOs
"Innovist (Bare Anatomy, Chemist at Play, Sunscoop)","Innovist (formerly Onesto Labs), Gurugram",Beauty & personal care (house of brands),FY25,299,12,1,Y,,,Product sales 97.5% of revenue; D2C + marketplaces,https://entrackr.com/fintrackr/bare-anatomy-parent-innovist-crosses-rs-300-cr-revenue-in-fy25-turns-profitable-10917108,Revenue 2.8X YoY; FY24 loss Rs 12.5 Cr; ad spend Rs 136.5 Cr; raised ~$30 Mn
Beardo,Beardo (Marico subsidiary),Men's grooming,FY26,299,22.12,~31.6 (10.57% margin),Y,,,99% domestic; product sales,https://entrackr.com/fintrackr/beardo-nears-rs-300-cr-revenue-in-fy26-profit-jumps-70-12231894,"Owned by Marico (not independent); FY25 rev Rs 214 Cr, PAT Rs 13 Cr; ROCE 66.5%"
Zappfresh,DSM Fresh Foods Ltd (NSE SME listed),Fresh meat / RTC non-veg,FY26,220.8,14.3,31.1,Y,,,"B2B ~68% of revenue; rest online B2C; chicken 50%, seafood 27%, mutton 23%",https://pulse.d2cinsider.com/zappfresh-fy26-profit-jumps-59-to-e2-82-b914-crore-as-d2c-meat-brand-scales-revenue-b2b-growth-and-omnichannel-expansion/ ; https://www.screener.in/company/544568/,"FY25: rev Rs 130.7 Cr, PAT Rs 9 Cr; heavily B2B, flag D2C purity"
Bonkers Corner,Bonkers Corner (Mumbai),Streetwear apparel,FY25,122.8,4.3,,Y,,,"Own website 55%, retail stores 40%, marketplaces 5%",https://inc42.com/buzz/exclusive-streetwear-brand-bonkers-corner-to-raise-12-15-mn-to-deepen-offline-push/ ; https://inc42.com/startups/how-bonkers-corner-bootstrapped-its-way-to-a-%e2%82%b9195-cr-streetwear-brand/,"Bootstrapped till Shark Tank S5; FY24 PAT Rs 6.7 Cr; targets FY26 Rs 195 Cr rev, Rs 15-16 Cr PAT (projection)"
Knya,Knya (medical apparel),Medical apparel / scrubs,FY26,110,10,20,Y,,"15 lakh+ medical professionals served; 1,000+ hospitals",Own website/app ~85%; own stores 5-7%; rest marketplaces/quick commerce,https://inc42.com/buzz/knya-fy26-revenue-crosses-%e2%82%b9100-cr-mark-pat-jumps-3x-yoy/,"Raised only ~Rs 16 Cr; FY25 rev Rs 60 Cr, PAT Rs 3 Cr; FAST42 2025"
