brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
Vahdam India,Vahdam India (consolidated; entity name as filed not verified),Tea (gourmet/export D2C),FY26,349.6,32.2,17.5,Y,,,~96% revenue from international markets (Rs 335.3 cr; US primary) via Amazon US/own site/retail; India only ~4%,https://entrackr.com/fintrackr/vahdam-india-reports-rs-350-cr-revenue-in-fy26-profit-jumps-6x-12443415,FY25: rev 267.5 cr PAT 5.2 cr (first profitable year; FY24 loss 17.7 cr). Ad spend FY26 Rs 95.9 cr. Export-led D2C.
Lahori Zeera,Archian Foods Pvt Ltd,Beverages (ethnic soda),FY25,540,25,,Y,,,Predominantly offline general-trade distribution in North India; not digital-first in channel terms,https://entrackr.com/fintrackr/lahori-zeera-revenue-spikes-73-to-rs-540-cr-in-fy25-pat-remains-flat-11442372,"EBITDA margin ~10% (abs not reported); ROCE 14%; PAT flat YoY. Flag: distributor/offline-led, low price point (~Rs 10-20 bottles)."
Milky Mist,Milky Mist Dairy Food Ltd (DRHP filed),Dairy (paneer/cheese/curd),FY25,2349,46,,Y,,,Distributor/modern trade-led; exports Rs 88.5 cr; not D2C,https://entrackr.com/fintrackr/milky-mist-posts-rs-2349-cr-revenue-in-fy25-profit-jumps-over-24x-9523704,"FLAG: distributor-led, not digital-first. EBITDA margin 13.14% (~Rs 309 cr implied, not stated). IPO DRHP seeks Rs 2,035 cr."
iD Fresh Food,iD Fresh Food (India) Pvt Ltd,Ready-to-cook (batters/parotas),FY25,681.37,25.87,,Y,,,Mostly offline retail/modern trade + quick commerce; not D2C-native,https://entrackr.com/fintrackr/id-fresh-food-reports-rs-681-cr-revenue-in-fy25-profit-surges-over-5x-10599920,FLAG: retail-led brand. EBITDA margin 8.68%. PAT up 5x from 4.43 cr.
Zappfresh,DSM Fresh Foods Ltd (NSE SME listed),Meat/fresh D2C,FY26,222.3,14.4,32.2,Y,,,Own app/website D2C meat delivery (Delhi NCR) plus B2B/QSR supply,https://inc42.com/company/zappfresh/financials/,"FY25: rev ~130.7 cr, PAT 9.1 cr (Inc42 FY25 tracker). Q1 FY27 rev ~Rs 74 cr (+58%). Source: Inc42 Datalabs."
Raw Pressery,Rakyan Beverages Pvt Ltd,Beverages (cold-pressed juice),FY25,154.2,8.3,23.8,Y,,,Modern trade/quick commerce/online; originally D2C,https://inc42.com/company/raw-pressery/financials/,EBITDA is Inc42 Datalabs estimate; FY24 rev 120.2 cr. Not cross-verified with Entrackr.
Paper Boat,Hector Beverages Pvt Ltd,Beverages/snacks,FY25,668.28,-48.25,,N,,,66% of revenue from traded (third-party manufactured) goods; largely offline GT/MT + online,https://entrackr.com/fintrackr/paper-boat-posts-rs-668-cr-revenue-in-fy25-narrows-losses-by-24-10519587,EBITDA margin -3.86%. CONFLICT: BW Retail World reported Rs 46 cr profit for FY25 (https://bwretailworld.com/fmcg/hector-beverages-posts-rs-46-cr-profit-in-fy25) - possibly different basis; Entrackr loss figure used.
Licious,Delightful Gourmet Pvt Ltd,Meat/seafood D2C,FY25,795,-218.3,-163,N,,,Own app D2C delivery + omnichannel/offline experience stores + quick commerce,https://entrackr.com/fintrackr/licious-reports-rs-795-cr-revenue-in-fy25-cuts-ebitda-losses-by-45-10575891|https://inc42.com/buzz/licious-trims-fy25-loss-by-27-to-inr-218-3-cr/,FY24 loss 298.6 cr; EBITDA loss cut 45% from 296 cr. No FY26 filing found.
Country Delight,Country Delight (legal entity not verified),Dairy/fresh subscription D2C,FY24,1380,,,N,,"5M+ orders/month; 6,000 delivery workers (Forbes 2022 via Wikipedia)",Own app subscription morning delivery; entered quick commerce,https://en.wikipedia.org/wiki/Country_Delight|https://www.thearcweb.com/article/fy24-country-delights-revenue-jumps-46-to-rs-1380-cr-wm80VNjkrdQ6eVfD,"FY24 PAT not found; FY23 rev 800.8 cr, loss 249 cr, EBITDA -228.7 (Inc42 Datalabs). Loss-making; FY25 audited figures not found. Revenue figures across sources inconsistent."
Akshayakalpa,Akshayakalpa Farms and Foods Pvt Ltd,Organic dairy,FY25,387,-27.3,,N,,,Subscription app + retail/quick commerce in South India,https://entrackr.com/exclusive/exclusive-akshayakalpa-organic-to-raise-rs-175-cr-in-primary-capital-led-by-temaseks-abc-impact-11222969|https://inc42.com/features/from-shutdown-scare-to-inr-500-cr-scale-how-akshayakalpa-rekindled-its-dairy-dream/,38% YoY growth; targets 556 cr FY26.
